patch_id,filename,is_mining,n_mining_polygons,label_ids,col,row,gt_mining_pct
0,patch_000_mining.png,1,2,"0;1",1892,17182,8.368
1,patch_001_mining.png,1,1,"2",1951,17048,0.787
2,patch_002_mining.png,1,7,"3;4;5;6;7;8;9",1828,17315,3.711
3,patch_003_mining.png,1,5,"10;11;20",1922,17424,2.283
4,patch_004_mining.png,1,4,"12;13;14;15",1995,17303,0.684
5,patch_005_mining.png,1,3,"16;17;18",2102,17422,1.520
6,patch_006_mining.png,1,4,"19",1929,17476,1.147
7,patch_007_mining.png,1,2,"21;22",13015,6352,5.707
8,patch_008_nonmining.png,0,0,"23",13339,5883,0.000
9,patch_009_mining.png,1,2,"24;25",15642,8755,4.822
10,patch_010_mining.png,1,9,"26;27;28;29;30;31;32",9936,14957,13.721
11,patch_011_mining.png,1,10,"33;34;36;38;40",10036,14970,32.086
12,patch_012_mining.png,1,4,"35",10102,15003,15.576
13,patch_013_mining.png,1,8,"37;39",10035,14904,13.074
14,patch_014_mining.png,1,4,"41;42;43;44",10239,14930,5.688
15,patch_015_mining.png,1,2,"45;46",10331,15015,1.715
16,patch_016_mining.png,1,3,"47;48;49",10456,14956,4.315
17,patch_017_mining.png,1,3,"50;51;52",10367,14815,3.113
18,patch_018_nonmining.png,0,0,"53",9693,11999,0.000
19,patch_019_mining.png,1,1,"54",10287,14424,4.413
20,patch_020_mining.png,1,3,"55;56",9906,14218,6.964
21,patch_021_mining.png,1,8,"57;64;68",9993,14161,11.768
22,patch_022_mining.png,1,7,"58;59;60;63",10042,14277,9.741
23,patch_023_mining.png,1,6,"61;62",10066,14218,7.892
24,patch_024_mining.png,1,6,"65;66;67;69",10028,14099,14.673
25,patch_025_mining.png,1,4,"70;71;72",1433,19279,6.195
26,patch_026_mining.png,1,11,"73;74;75;76;77;78;79;84;85",1465,19356,7.404
27,patch_027_mining.png,1,2,"80;81",1607,19319,3.918
28,patch_028_mining.png,1,14,"82;83;86;87;88;89;90;92;93",1356,19295,11.420
29,patch_029_mining.png,1,8,"91",1345,19238,6.061
30,patch_030_mining.png,1,8,"94;95;96;97;98;99;100;101",1331,19091,10.931
31,patch_031_mining.png,1,3,"102;104;106",15256,8530,12.903
32,patch_032_mining.png,1,4,"103",15256,8440,11.658
33,patch_033_mining.png,1,1,"105",15230,8779,8.112
34,patch_034_mining.png,1,2,"107;108",15282,8341,16.034
35,patch_035_mining.png,1,1,"109",15339,8145,7.220
36,patch_036_mining.png,1,2,"110;111",15458,8653,8.093
37,patch_037_mining.png,1,1,"112",7906,7699,6.610
38,patch_038_mining.png,1,4,"113;114;115;116",7781,7720,9.753
39,patch_039_mining.png,1,2,"117",7836,7814,1.227
40,patch_040_nonmining.png,0,0,"118",8360,7820,0.000
41,patch_041_nonmining.png,0,0,"119",11891,7373,0.000
42,patch_042_mining.png,1,1,"120",12002,7484,0.470
43,patch_043_nonmining.png,0,0,"121",12914,6957,0.000
