system:index,cloudy_pct,date,mgrs_tile,scene_id,sensing_orbit,spacecraft,.geo
20250103T103339_20250103T104744_T30NVP,0.540625,2025-01-03,30NVP,20250103T103339_20250103T104744_T30NVP,108.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103T103339_20250103T104744_T30PWQ,0.274214,2025-01-03,30PWQ,20250103T103339_20250103T104744_T30PWQ,108.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T102421_20250105T102729_T30NWN,0.021307,2025-01-05,30NWN,20250105T102421_20250105T102729_T30NWN,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T102421_20250105T102729_T30NWP,0.0,2025-01-05,30NWP,20250105T102421_20250105T102729_T30NWP,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T102421_20250105T102729_T30NXN,0.004781,2025-01-05,30NXN,20250105T102421_20250105T102729_T30NXN,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T102421_20250105T102729_T30NXP,0.001831,2025-01-05,30NXP,20250105T102421_20250105T102729_T30NXP,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T102421_20250105T102729_T30NYN,0.002067,2025-01-05,30NYN,20250105T102421_20250105T102729_T30NYN,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T102421_20250105T102729_T30NYP,0.004459,2025-01-05,30NYP,20250105T102421_20250105T102729_T30NYP,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T102421_20250105T102729_T30NZN,0.003956,2025-01-05,30NZN,20250105T102421_20250105T102729_T30NZN,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T102421_20250105T102729_T30NZP,0.366039,2025-01-05,30NZP,20250105T102421_20250105T102729_T30NZP,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T102421_20250105T102729_T30PWQ,0.001645,2025-01-05,30PWQ,20250105T102421_20250105T102729_T30PWQ,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T102421_20250105T102729_T30PXQ,0.038152,2025-01-05,30PXQ,20250105T102421_20250105T102729_T30PXQ,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T102421_20250105T102729_T30PYQ,0.109197,2025-01-05,30PYQ,20250105T102421_20250105T102729_T30PYQ,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105T102421_20250105T102729_T30PZQ,0.001574,2025-01-05,30PZQ,20250105T102421_20250105T102729_T30PZQ,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T101319_20250107T102657_T30NZN,1.618127,2025-01-07,30NZN,20250107T101319_20250107T102657_T30NZN,22.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107T101319_20250107T102657_T30NZP,1.334489,2025-01-07,30NZP,20250107T101319_20250107T102657_T30NZP,22.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T103421_20250108T104700_T30NVP,4.653747,2025-01-08,30NVP,20250108T103421_20250108T104700_T30NVP,108.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T103421_20250108T104700_T30NWP,0.770442,2025-01-08,30NWP,20250108T103421_20250108T104700_T30NWP,108.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108T103421_20250108T104700_T30PWQ,0.004172,2025-01-08,30PWQ,20250108T103421_20250108T104700_T30PWQ,108.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T102319_20250110T103111_T30NXP,1.256648,2025-01-10,30NXP,20250110T102319_20250110T103111_T30NXP,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T102319_20250110T103111_T30NYN,4.067415,2025-01-10,30NYN,20250110T102319_20250110T103111_T30NYN,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T102319_20250110T103111_T30NYP,0.460918,2025-01-10,30NYP,20250110T102319_20250110T103111_T30NYP,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T102319_20250110T103111_T30NZN,1.384335,2025-01-10,30NZN,20250110T102319_20250110T103111_T30NZN,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T102319_20250110T103111_T30NZP,0.834413,2025-01-10,30NZP,20250110T102319_20250110T103111_T30NZP,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T102319_20250110T103111_T30PYQ,0.757871,2025-01-10,30PYQ,20250110T102319_20250110T103111_T30PYQ,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110T102319_20250110T103111_T30PZQ,0.049785,2025-01-10,30PZQ,20250110T102319_20250110T103111_T30PZQ,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T101401_20250112T102017_T30NZN,5.8584,2025-01-12,30NZN,20250112T101401_20250112T102017_T30NZN,22.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112T101401_20250112T102017_T30NZP,7.941957,2025-01-12,30NZP,20250112T101401_20250112T102017_T30NZP,22.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T103309_20250113T104030_T30NVP,0.202,2025-01-13,30NVP,20250113T103309_20250113T104030_T30NVP,108.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T103309_20250113T104030_T30NWN,3.061422,2025-01-13,30NWN,20250113T103309_20250113T104030_T30NWN,108.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T103309_20250113T104030_T30NWP,8.06388,2025-01-13,30NWP,20250113T103309_20250113T104030_T30NWP,108.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T103309_20250113T104030_T30PWQ,0.503898,2025-01-13,30PWQ,20250113T103309_20250113T104030_T30PWQ,108.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T102351_20250115T102722_T30NWP,6.233424,2025-01-15,30NWP,20250115T102351_20250115T102722_T30NWP,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T102351_20250115T102722_T30NXP,1.572234,2025-01-15,30NXP,20250115T102351_20250115T102722_T30NXP,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T102351_20250115T102722_T30NYP,3.188606,2025-01-15,30NYP,20250115T102351_20250115T102722_T30NYP,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T102351_20250115T102722_T30NZN,3.115536,2025-01-15,30NZN,20250115T102351_20250115T102722_T30NZN,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T102351_20250115T102722_T30PWQ,1.518384,2025-01-15,30PWQ,20250115T102351_20250115T102722_T30PWQ,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T102351_20250115T102722_T30PXQ,8.45972,2025-01-15,30PXQ,20250115T102351_20250115T102722_T30PXQ,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T102351_20250115T102722_T30PZQ,5.585246,2025-01-15,30PZQ,20250115T102351_20250115T102722_T30PZQ,65.0,Sentinel-2A,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T101249_20250117T102223_T30NZN,0.002074,2025-01-17,30NZN,20250117T101249_20250117T102223_T30NZN,22.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T101249_20250117T102223_T30NZP,0.06492,2025-01-17,30NZP,20250117T101249_20250117T102223_T30NZP,22.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T102239_20250120T103000_T30NWN,0.191937,2025-01-20,30NWN,20250120T102239_20250120T103000_T30NWN,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T102239_20250120T103000_T30NWP,0.0,2025-01-20,30NWP,20250120T102239_20250120T103000_T30NWP,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T102239_20250120T103000_T30NXN,0.478091,2025-01-20,30NXN,20250120T102239_20250120T103000_T30NXN,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T102239_20250120T103000_T30NXP,0.002757,2025-01-20,30NXP,20250120T102239_20250120T103000_T30NXP,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T102239_20250120T103000_T30NYN,2.644338,2025-01-20,30NYN,20250120T102239_20250120T103000_T30NYN,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T102239_20250120T103000_T30NYP,0.029336,2025-01-20,30NYP,20250120T102239_20250120T103000_T30NYP,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T102239_20250120T103000_T30NZN,7.686768,2025-01-20,30NZN,20250120T102239_20250120T103000_T30NZN,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T102239_20250120T103000_T30NZP,5.287309,2025-01-20,30NZP,20250120T102239_20250120T103000_T30NZP,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T102239_20250120T103000_T30PWQ,1.77E-4,2025-01-20,30PWQ,20250120T102239_20250120T103000_T30PWQ,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T102239_20250120T103000_T30PXQ,0.002575,2025-01-20,30PXQ,20250120T102239_20250120T103000_T30PXQ,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T102239_20250120T103000_T30PYQ,0.002694,2025-01-20,30PYQ,20250120T102239_20250120T103000_T30PYQ,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120T102239_20250120T103000_T30PZQ,0.001926,2025-01-20,30PZQ,20250120T102239_20250120T103000_T30PZQ,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250122T101351_20250122T101939_T30NZN,0.041307,2025-01-22,30NZN,20250122T101351_20250122T101939_T30NZN,22.0,Sentinel-2C,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250122T101351_20250122T101939_T30NZP,3.043779,2025-01-22,30NZP,20250122T101351_20250122T101939_T30NZP,22.0,Sentinel-2C,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250125T102341_20250125T102937_T30NWP,2.985614,2025-01-25,30NWP,20250125T102341_20250125T102937_T30NWP,65.0,Sentinel-2C,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250125T102341_20250125T102937_T30NXP,0.120129,2025-01-25,30NXP,20250125T102341_20250125T102937_T30NXP,65.0,Sentinel-2C,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250125T102341_20250125T102937_T30NYP,0.403963,2025-01-25,30NYP,20250125T102341_20250125T102937_T30NYP,65.0,Sentinel-2C,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250125T102341_20250125T102937_T30NZN,4.336265,2025-01-25,30NZN,20250125T102341_20250125T102937_T30NZN,65.0,Sentinel-2C,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250125T102341_20250125T102937_T30NZP,0.539832,2025-01-25,30NZP,20250125T102341_20250125T102937_T30NZP,65.0,Sentinel-2C,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250125T102341_20250125T102937_T30PWQ,0.037654,2025-01-25,30PWQ,20250125T102341_20250125T102937_T30PWQ,65.0,Sentinel-2C,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250125T102341_20250125T102937_T30PXQ,0.134691,2025-01-25,30PXQ,20250125T102341_20250125T102937_T30PXQ,65.0,Sentinel-2C,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250125T102341_20250125T102937_T30PYQ,0.102379,2025-01-25,30PYQ,20250125T102341_20250125T102937_T30PYQ,65.0,Sentinel-2C,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250125T102341_20250125T102937_T30PZQ,0.051943,2025-01-25,30PZQ,20250125T102341_20250125T102937_T30PZQ,65.0,Sentinel-2C,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250127T101209_20250127T102332_T30NZN,5.188001,2025-01-27,30NZN,20250127T101209_20250127T102332_T30NZN,22.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250127T101209_20250127T102332_T30NZP,0.66773,2025-01-27,30NZP,20250127T101209_20250127T102332_T30NZP,22.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250130T102159_20250130T103034_T30NXN,5.737038,2025-01-30,30NXN,20250130T102159_20250130T103034_T30NXN,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250130T102159_20250130T103034_T30NYN,6.159329,2025-01-30,30NYN,20250130T102159_20250130T103034_T30NYN,65.0,Sentinel-2B,"{""type"":""MultiPoint"",""coordinates"":[]}"
