model,spec,dependent,treatment,coef,std_err,t,p,ci_low,ci_high,r2,r2_adj,n,n_clusters
M1_EconomicImpact,A_district_FE,perc_cashew_income,log_dist_galamsey,0.00363915580330193,0.11836774527618177,0.030744488668013933,0.9754733110903319,-0.22835736186922545,0.2356356734758293,0.16630354700389072,0.13456383432637387,410,9
M2_RiskPerception,A_district_FE,worry_env,log_dist_galamsey,-0.0641251272214548,0.16782879276923637,-0.38208656669315666,0.702397155514983,-0.3930635166179943,0.2648132621750847,0.028790279004967556,-0.008659967305894911,405,9
M3_CarbonInvestment,A_district_FE,sust_participation,log_dist_galamsey,0.0715439772938247,0.05548816573136819,1.289355601340052,0.197274489214323,-0.03721082910784658,0.18029878369549596,0.03961204494223536,0.0029560161232367044,409,9
M1_EconomicImpact,B_no_district_FE,perc_cashew_income,log_dist_galamsey,-0.19212899313061815,0.13778337398223175,-1.394427989224554,0.16318840093030318,-0.4621794438042055,0.0779214575429692,0.08816969300827104,0.07229205084672341,410,9
M2_RiskPerception,B_no_district_FE,worry_env,log_dist_galamsey,-0.030982856939035575,0.049752373176567916,-0.6227412877186671,0.5334545461263575,-0.12849571651050534,0.06653000263243418,0.005301325518770272,-0.012237442041352242,405,9
M3_CarbonInvestment,B_no_district_FE,sust_participation,log_dist_galamsey,0.053068464442537114,0.02476564238798167,2.1428260818419274,0.032127066178548366,0.0045286973080945064,0.10160823157697972,0.022337408151170357,0.005270978867026321,409,9
M1_EconomicImpact_area5km,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,0.019201445740076917,0.006861695387931791,2.79835298049634,0.0051363946695228944,0.005752769906846013,0.03265012157330782,0.1757785501433411,0.14439956093560025,410,9
M2_RiskPerception_area5km,A_district_FE,worry_env,galamsey_area_5km_ha,0.01103828690884047,0.006857509970412506,1.6096639970581732,0.10747122878394533,-0.0024021856567923733,0.02447875947447331,0.030661501040522565,-0.006716590178994508,405,9
M3_CarbonInvestment_area5km,A_district_FE,sust_participation,galamsey_area_5km_ha,-0.01367702434760051,0.005598601069605335,-2.4429360437650636,0.014568318757563486,-0.02465008080783439,-0.0027039678873666297,0.05213719648233872,0.015959226882428013,409,9
M1_EconomicImpact_area5km,B_no_district_FE,perc_cashew_income,galamsey_area_5km_ha,0.019440372000945356,0.011258978456694473,1.7266550491875494,0.08422963307309726,-0.002626820276888174,0.041507564278778886,0.08399921481709849,0.06804895238854047,410,9
M2_RiskPerception_area5km,B_no_district_FE,worry_env,galamsey_area_5km_ha,0.011977470282458469,0.004456711723122872,2.6875129078498508,0.007198631997153736,0.0032424758156601938,0.020712464749256743,0.013902787116045867,-0.0034843173932430638,405,9
M3_CarbonInvestment_area5km,B_no_district_FE,sust_participation,galamsey_area_5km_ha,-0.006167259769807564,0.0025749250885674993,-2.3951220162442,0.016614835182556107,-0.01121402020628847,-0.0011204993333266558,0.02360794702512492,0.006563696723817958,409,9
