stem,split,selection_id,class,is_mining,source,col,row,mining_pct,preview
BONO_0000,training,0,mining,1,unique_patch,1892,17182,8.368,patch_000_mining.png
BONO_0002,training,2,mining,1,unique_patch,1828,17315,3.711,patch_002_mining.png
BONO_0003,training,3,mining,1,unique_patch,1922,17424,2.283,patch_003_mining.png
BONO_0004,training,4,mining,1,unique_patch,1995,17303,0.684,patch_004_mining.png
BONO_0005,training,5,mining,1,unique_patch,2102,17422,1.52,patch_005_mining.png
BONO_0006,training,6,mining,1,unique_patch,1929,17476,1.147,patch_006_mining.png
BONO_0007,training,7,mining,1,unique_patch,13015,6352,5.707,patch_007_mining.png
BONO_0009,training,9,mining,1,unique_patch,15642,8755,4.822,patch_009_mining.png
BONO_0010,training,10,mining,1,unique_patch,9936,14957,13.721,patch_010_mining.png
BONO_0014,training,14,mining,1,unique_patch,10239,14930,5.688,patch_014_mining.png
BONO_0015,training,15,mining,1,unique_patch,10331,15015,1.715,patch_015_mining.png
BONO_0016,training,16,mining,1,unique_patch,10456,14956,4.315,patch_016_mining.png
BONO_0017,training,17,mining,1,unique_patch,10367,14815,3.113,patch_017_mining.png
BONO_0020,training,20,mining,1,unique_patch,9906,14218,6.964,patch_020_mining.png
BONO_0021,training,21,mining,1,unique_patch,9993,14161,11.768,patch_021_mining.png
BONO_0022,training,22,mining,1,unique_patch,10042,14277,9.741,patch_022_mining.png
BONO_0023,training,23,mining,1,unique_patch,10066,14218,7.892,patch_023_mining.png
BONO_0024,training,24,mining,1,unique_patch,10028,14099,14.673,patch_024_mining.png
BONO_0025,training,25,mining,1,unique_patch,1433,19279,6.195,patch_025_mining.png
BONO_0026,training,26,mining,1,unique_patch,1465,19356,7.404,patch_026_mining.png
BONO_0027,training,27,mining,1,unique_patch,1607,19319,3.918,patch_027_mining.png
BONO_0028,training,28,mining,1,unique_patch,1356,19295,11.42,patch_028_mining.png
BONO_0029,training,29,mining,1,unique_patch,1345,19238,6.061,patch_029_mining.png
BONO_0031,training,31,mining,1,unique_patch,15256,8530,12.903,patch_031_mining.png
BONO_0033,training,33,mining,1,unique_patch,15230,8779,8.112,patch_033_mining.png
BONO_0035,training,35,mining,1,unique_patch,15339,8145,7.22,patch_035_mining.png
BONO_0037,training,37,mining,1,unique_patch,7906,7699,6.61,patch_037_mining.png
BONO_0038,training,38,mining,1,unique_patch,7781,7720,9.753,patch_038_mining.png
BONO_0040,training,40,nonmining,0,unique_patch,8360,7820,0.0,patch_040_nonmining.png
BONO_0043,training,43,nonmining,0,unique_patch,12914,6957,0.0,patch_043_nonmining.png
BONO_0124,training,124,nonmining,0,random_nonmining,6940,2810,0.0,label_124_nonmining.png
BONO_0125,training,125,nonmining,0,random_nonmining,32652,13803,0.0,label_125_nonmining.png
BONO_0131,training,131,nonmining,0,random_nonmining,2551,18612,0.0,label_131_nonmining.png
BONO_0134,training,134,nonmining,0,random_nonmining,7824,23171,0.0,label_134_nonmining.png
BONO_0142,training,142,nonmining,0,random_nonmining,6783,18230,0.0,label_142_nonmining.png
BONO_0143,training,143,nonmining,0,random_nonmining,15639,8292,0.0,label_143_nonmining.png
BONO_0151,training,151,nonmining,0,random_nonmining,26329,6671,0.0,label_151_nonmining.png
